pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline/last.pth
SimCore sampling starts!
100%|██████████████████████████████████████████████████| 53/53 [00:38<00:00,  1.38it/s]
Finding the closest 333350 samples from imagenet ...
990it [01:06, 14.87it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 126400 number of indices sampled from imagenet.
new epoch: 2
Train: [1][590/1040]	BT 0.196 (0.228)	DT 0.000 (0.002)	loss 5.027 (5.282)
Train: [1][600/1040]	BT 0.196 (0.227)	DT 0.000 (0.002)	loss 4.915 (5.277)
Train: [1][610/1040]	BT 0.196 (0.227)	DT 0.000 (0.002)	loss 4.939 (5.272)
Train: [1][620/1040]	BT 0.196 (0.226)	DT 0.000 (0.002)	loss 5.159 (5.266)
Train: [1][630/1040]	BT 0.197 (0.226)	DT 0.000 (0.002)	loss 4.939 (5.260)
Train: [1][640/1040]	BT 0.196 (0.226)	DT 0.000 (0.002)	loss 4.824 (5.255)
Train: [1][650/1040]	BT 0.196 (0.225)	DT 0.000 (0.002)	loss 4.888 (5.250)
Train: [1][660/1040]	BT 0.196 (0.225)	DT 0.000 (0.002)	loss 4.790 (5.243)
Train: [1][670/1040]	BT 0.198 (0.224)	DT 0.000 (0.002)	loss 4.986 (5.238)
Train: [1][680/1040]	BT 0.198 (0.224)	DT 0.000 (0.002)	loss 4.780 (5.232)
Train: [1][690/1040]	BT 0.199 (0.223)	DT 0.000 (0.002)	loss 4.840 (5.227)
Train: [1][700/1040]	BT 0.198 (0.223)	DT 0.000 (0.002)	loss 4.768 (5.220)
Train: [1][710/1040]	BT 0.196 (0.223)	DT 0.000 (0.002)	loss 4.760 (5.215)
Train: [1][720/1040]	BT 0.196 (0.222)	DT 0.000 (0.002)	loss 5.042 (5.211)
Train: [1][730/1040]	BT 0.197 (0.222)	DT 0.000 (0.002)	loss 4.670 (5.206)
Train: [1][740/1040]	BT 0.196 (0.222)	DT 0.000 (0.002)	loss 4.837 (5.201)
Train: [1][750/1040]	BT 0.196 (0.221)	DT 0.000 (0.002)	loss 4.916 (5.197)
Train: [1][760/1040]	BT 0.196 (0.221)	DT 0.000 (0.002)	loss 4.827 (5.192)
Train: [1][770/1040]	BT 0.196 (0.221)	DT 0.000 (0.002)	loss 4.914 (5.188)
Train: [1][780/1040]	BT 0.196 (0.220)	DT 0.000 (0.001)	loss 4.852 (5.184)
Train: [1][790/1040]	BT 0.196 (0.220)	DT 0.000 (0.001)	loss 4.748 (5.178)
Train: [1][800/1040]	BT 0.196 (0.220)	DT 0.000 (0.001)	loss 4.750 (5.172)
Train: [1][810/1040]	BT 0.196 (0.219)	DT 0.000 (0.001)	loss 4.534 (5.166)
Train: [1][820/1040]	BT 0.196 (0.219)	DT 0.000 (0.001)	loss 4.713 (5.158)
Train: [1][830/1040]	BT 0.196 (0.219)	DT 0.000 (0.001)	loss 4.478 (5.151)
Train: [1][840/1040]	BT 0.197 (0.219)	DT 0.000 (0.001)	loss 4.323 (5.143)
Train: [1][850/1040]	BT 0.196 (0.218)	DT 0.000 (0.001)	loss 4.580 (5.136)
Train: [1][860/1040]	BT 0.197 (0.218)	DT 0.000 (0.001)	loss 4.550 (5.128)
Train: [1][870/1040]	BT 0.196 (0.218)	DT 0.000 (0.001)	loss 4.545 (5.122)
Train: [1][880/1040]	BT 0.199 (0.218)	DT 0.000 (0.001)	loss 4.983 (5.117)
Train: [1][890/1040]	BT 0.197 (0.217)	DT 0.000 (0.001)	loss 4.761 (5.116)
Train: [1][900/1040]	BT 0.199 (0.217)	DT 0.000 (0.001)	loss 5.055 (5.112)
Train: [1][910/1040]	BT 0.198 (0.217)	DT 0.000 (0.001)	loss 4.646 (5.107)
Train: [1][920/1040]	BT 0.196 (0.217)	DT 0.000 (0.001)	loss 4.663 (5.102)
Train: [1][930/1040]	BT 0.196 (0.217)	DT 0.000 (0.001)	loss 4.704 (5.097)
Train: [1][940/1040]	BT 0.197 (0.216)	DT 0.000 (0.001)	loss 4.620 (5.091)
Train: [1][950/1040]	BT 0.197 (0.216)	DT 0.000 (0.001)	loss 4.491 (5.085)
Train: [1][960/1040]	BT 0.196 (0.216)	DT 0.000 (0.001)	loss 4.396 (5.080)
Train: [1][970/1040]	BT 0.196 (0.216)	DT 0.000 (0.001)	loss 4.388 (5.073)
Train: [1][980/1040]	BT 0.196 (0.216)	DT 0.000 (0.001)	loss 4.449 (5.066)
Train: [1][990/1040]	BT 0.196 (0.215)	DT 0.000 (0.001)	loss 4.427 (5.061)
Train: [1][1000/1040]	BT 0.196 (0.215)	DT 0.000 (0.001)	loss 4.416 (5.055)
Train: [1][1010/1040]	BT 0.196 (0.215)	DT 0.000 (0.001)	loss 4.310 (5.050)
Train: [1][1020/1040]	BT 0.196 (0.215)	DT 0.000 (0.001)	loss 4.495 (5.044)
Train: [1][1030/1040]	BT 0.196 (0.215)	DT 0.000 (0.001)	loss 4.686 (5.037)
Train: [1][1040/1040]	BT 21.427 (0.235)	DT 0.000 (0.001)	loss 4.001 (5.032)
Train epoch 1, total time 244.28, loss 5.032
Train: [2][10/1040]	BT 0.197 (0.420)	DT 0.000 (0.221)	loss 4.483 (4.379)
Train: [2][20/1040]	BT 0.196 (0.308)	DT 0.000 (0.111)	loss 4.438 (4.384)
Train: [2][30/1040]	BT 0.197 (0.271)	DT 0.000 (0.074)	loss 4.323 (4.410)
Train: [2][40/1040]	BT 0.196 (0.252)	DT 0.000 (0.055)	loss 4.630 (4.425)
Train: [2][50/1040]	BT 0.196 (0.241)	DT 0.000 (0.044)	loss 4.589 (4.431)
