pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline_200_epochs/last.pth
SimCore sampling starts!
100%|████████████████████████████████████████████████████████████████████████████████| 53/53 [01:03<00:00,  1.20s/it]
Finding the closest 333350 samples from imagenet ...
990it [01:07, 14.67it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 5689 number of indices sampled from imagenet.
new epoch: 200
Train: [7][30/97]	BT 0.416 (0.771)	DT 0.000 (0.471)	loss 4.854 (4.852)
Train: [7][40/97]	BT 0.411 (0.767)	DT 0.000 (0.443)	loss 4.824 (4.850)
Train: [7][50/97]	BT 0.365 (0.717)	DT 0.000 (0.377)	loss 4.938 (4.865)
Train: [7][60/97]	BT 0.412 (0.785)	DT 0.000 (0.435)	loss 4.878 (4.860)
Train: [7][70/97]	BT 0.406 (0.800)	DT 0.000 (0.441)	loss 4.906 (4.860)
Train: [7][80/97]	BT 0.410 (0.751)	DT 0.000 (0.386)	loss 4.768 (4.855)
Train: [7][90/97]	BT 0.419 (0.719)	DT 0.000 (0.350)	loss 4.905 (4.852)
Train epoch 7, total time 67.40, loss 4.847
Train: [8][10/97]	BT 0.408 (0.730)	DT 0.000 (0.320)	loss 4.910 (4.822)
Train: [8][20/97]	BT 0.338 (0.566)	DT 0.000 (0.160)	loss 4.912 (4.844)
Train: [8][30/97]	BT 0.409 (0.513)	DT 0.000 (0.107)	loss 4.970 (4.831)
Train: [8][40/97]	BT 0.404 (0.487)	DT 0.000 (0.080)	loss 4.957 (4.836)
Train: [8][50/97]	BT 0.404 (0.470)	DT 0.000 (0.064)	loss 4.810 (4.845)
Train: [8][60/97]	BT 0.405 (0.460)	DT 0.000 (0.053)	loss 4.737 (4.849)
Train: [8][70/97]	BT 0.196 (0.426)	DT 0.000 (0.046)	loss 4.822 (4.848)
Train: [8][80/97]	BT 0.196 (0.397)	DT 0.000 (0.040)	loss 4.787 (4.847)
Train: [8][90/97]	BT 0.196 (0.375)	DT 0.000 (0.036)	loss 4.866 (4.840)
Train epoch 8, total time 35.07, loss 4.836
Train: [9][10/97]	BT 0.198 (0.371)	DT 0.000 (0.173)	loss 4.729 (4.827)
Train: [9][20/97]	BT 0.199 (0.286)	DT 0.000 (0.087)	loss 4.753 (4.821)
Train: [9][30/97]	BT 0.198 (0.257)	DT 0.000 (0.058)	loss 4.989 (4.845)
Train: [9][40/97]	BT 0.200 (0.242)	DT 0.000 (0.043)	loss 4.950 (4.897)
Train: [9][50/97]	BT 0.198 (0.233)	DT 0.000 (0.035)	loss 4.830 (4.909)
Train: [9][60/97]	BT 0.200 (0.228)	DT 0.000 (0.029)	loss 4.909 (4.901)
Train: [9][70/97]	BT 0.197 (0.223)	DT 0.000 (0.025)	loss 4.828 (4.897)
Train: [9][80/97]	BT 0.197 (0.220)	DT 0.000 (0.022)	loss 4.783 (4.892)
Train: [9][90/97]	BT 0.197 (0.218)	DT 0.000 (0.019)	loss 4.876 (4.889)
Train epoch 9, total time 20.92, loss 4.879
Train: [10][10/97]	BT 0.198 (0.393)	DT 0.000 (0.194)	loss 4.741 (4.835)
Train: [10][20/97]	BT 0.196 (0.295)	DT 0.000 (0.097)	loss 4.795 (4.838)
Train: [10][30/97]	BT 0.196 (0.262)	DT 0.000 (0.065)	loss 4.706 (4.819)
