pretrained retrieval model loaded from: /mnt/disk3/tinvt/openssl-simcore/save/aircraft_resnet50_pretrain_simclr_TEST_baseline/last.pth
SimCore sampling starts!
100%|█████████████████████████| 53/53 [00:42<00:00,  1.25it/s]
Finding the closest 333350 samples from imagenet ...
990it [01:07, 14.63it/s]
Cosine similarity matrix is computed...
Stopped sampling because the rest are not similar to the target dataset.
Complete! 126492 number of indices sampled from imagenet.
new epoch: 2
Train: [1][590/1041]	BT 0.197 (0.251)	DT 0.000 (0.004)	loss 5.101 (5.449)
Train: [1][600/1041]	BT 0.198 (0.250)	DT 0.000 (0.004)	loss 5.248 (5.445)
Train: [1][610/1041]	BT 0.199 (0.249)	DT 0.000 (0.004)	loss 5.152 (5.440)
Train: [1][620/1041]	BT 0.198 (0.248)	DT 0.000 (0.004)	loss 5.115 (5.436)
Train: [1][630/1041]	BT 0.196 (0.247)	DT 0.000 (0.004)	loss 5.198 (5.432)
Train: [1][640/1041]	BT 0.196 (0.246)	DT 0.000 (0.004)	loss 5.241 (5.427)
Train: [1][650/1041]	BT 0.196 (0.246)	DT 0.000 (0.004)	loss 4.999 (5.421)
Train: [1][660/1041]	BT 0.196 (0.245)	DT 0.000 (0.004)	loss 5.000 (5.417)
Train: [1][670/1041]	BT 0.196 (0.244)	DT 0.000 (0.004)	loss 5.062 (5.413)
Train: [1][680/1041]	BT 0.196 (0.243)	DT 0.000 (0.004)	loss 5.395 (5.408)
Train: [1][690/1041]	BT 0.196 (0.243)	DT 0.000 (0.004)	loss 5.159 (5.405)
Train: [1][700/1041]	BT 0.196 (0.242)	DT 0.000 (0.004)	loss 5.115 (5.401)
Train: [1][710/1041]	BT 0.196 (0.241)	DT 0.000 (0.003)	loss 5.036 (5.396)
Train: [1][720/1041]	BT 0.196 (0.241)	DT 0.000 (0.003)	loss 5.021 (5.391)
Train: [1][730/1041]	BT 0.196 (0.240)	DT 0.000 (0.003)	loss 5.057 (5.386)
Train: [1][740/1041]	BT 0.196 (0.240)	DT 0.000 (0.003)	loss 4.993 (5.381)
