Train: [7][20/105]	BT 0.199 (0.265)	DT 0.000 (0.069)	loss 4.414 (4.433)
Train: [7][30/105]	BT 0.206 (0.245)	DT 0.000 (0.046)	loss 4.459 (4.434)
Train: [7][40/105]	BT 0.206 (0.235)	DT 0.000 (0.034)	loss 4.656 (4.425)
Train: [7][50/105]	BT 0.206 (0.229)	DT 0.000 (0.028)	loss 4.335 (4.426)
Train: [7][60/105]	BT 0.202 (0.224)	DT 0.000 (0.023)	loss 4.367 (4.422)
Train: [7][70/105]	BT 0.206 (0.222)	DT 0.000 (0.020)	loss 4.400 (4.404)
Train: [7][80/105]	BT 0.205 (0.219)	DT 0.000 (0.017)	loss 4.245 (4.402)
Train: [7][90/105]	BT 0.206 (0.218)	DT 0.000 (0.015)	loss 4.342 (4.394)
Train: [7][100/105]	BT 0.206 (0.216)	DT 0.000 (0.014)	loss 4.138 (4.383)
Train epoch 7, total time 22.53, loss 4.376
Train: [8][10/105]	BT 0.206 (0.339)	DT 0.000 (0.135)	loss 4.533 (4.529)
Train: [8][20/105]	BT 0.202 (0.264)	DT 0.000 (0.068)	loss 4.407 (4.452)
Train: [8][30/105]	BT 0.202 (0.244)	DT 0.000 (0.045)	loss 4.460 (4.395)
Train: [8][40/105]	BT 0.205 (0.234)	DT 0.000 (0.034)	loss 4.332 (4.394)
Train: [8][50/105]	BT 0.206 (0.228)	DT 0.000 (0.027)	loss 4.516 (4.374)
Train: [8][60/105]	BT 0.206 (0.224)	DT 0.000 (0.023)	loss 4.165 (4.351)
Train: [8][70/105]	BT 0.206 (0.221)	DT 0.000 (0.019)	loss 4.257 (4.339)
Train: [8][80/105]	BT 0.206 (0.219)	DT 0.000 (0.017)	loss 4.050 (4.323)
Train: [8][90/105]	BT 0.206 (0.218)	DT 0.000 (0.015)	loss 4.111 (4.316)
Train: [8][100/105]	BT 0.207 (0.216)	DT 0.000 (0.014)	loss 4.387 (4.321)
Train epoch 8, total time 22.51, loss 4.318
Train: [9][10/105]	BT 0.206 (0.298)	DT 0.000 (0.092)	loss 4.146 (4.231)
Train: [9][20/105]	BT 0.208 (0.252)	DT 0.000 (0.046)	loss 4.477 (4.350)
Train: [9][30/105]	BT 0.206 (0.236)	DT 0.000 (0.031)	loss 4.462 (4.367)
Train: [9][40/105]	BT 0.201 (0.224)	DT 0.000 (0.023)	loss 4.261 (4.349)
Train: [9][50/105]	BT 0.200 (0.220)	DT 0.000 (0.019)	loss 4.174 (4.334)
Train: [9][60/105]	BT 0.200 (0.217)	DT 0.000 (0.015)	loss 4.369 (4.323)
Train: [9][70/105]	BT 0.202 (0.215)	DT 0.000 (0.013)	loss 4.206 (4.311)
Train: [9][80/105]	BT 0.206 (0.214)	DT 0.000 (0.012)	loss 4.040 (4.292)
Train: [9][90/105]	BT 0.202 (0.213)	DT 0.000 (0.010)	loss 4.268 (4.278)
Train: [9][100/105]	BT 0.205 (0.212)	DT 0.000 (0.009)	loss 4.011 (4.264)
Train epoch 9, total time 22.09, loss 4.255
Train: [10][10/105]	BT 0.206 (0.295)	DT 0.000 (0.090)	loss 4.203 (4.114)
Train: [10][20/105]	BT 0.206 (0.250)	DT 0.000 (0.045)	loss 4.073 (4.125)
Train: [10][30/105]	BT 0.206 (0.234)	DT 0.000 (0.030)	loss 3.929 (4.096)
Train: [10][40/105]	BT 0.205 (0.227)	DT 0.000 (0.023)	loss 3.921 (4.078)
Train: [10][50/105]	BT 0.108 (0.219)	DT 0.000 (0.018)	loss 4.112 (4.116)
Train: [10][60/105]	BT 0.204 (0.217)	DT 0.000 (0.015)	loss 4.206 (4.120)
Train: [10][70/105]	BT 0.201 (0.215)	DT 0.000 (0.013)	loss 3.856 (4.112)
Train: [10][80/105]	BT 0.204 (0.213)	DT 0.000 (0.011)	loss 4.023 (4.093)
Train: [10][90/105]	BT 0.204 (0.212)	DT 0.000 (0.010)	loss 4.103 (4.086)
Train: [10][100/105]	BT 0.205 (0.212)	DT 0.000 (0.009)	loss 4.016 (4.079)
Train epoch 10, total time 22.05, loss 4.072
Train: [11][10/105]	BT 0.207 (0.304)	DT 0.000 (0.099)	loss 4.029 (4.077)
Train: [11][20/105]	BT 0.200 (0.254)	DT 0.000 (0.050)	loss 3.998 (4.090)
Train: [11][30/105]	BT 0.195 (0.237)	DT 0.000 (0.033)	loss 3.942 (4.064)
